stock1,stock2,stability
BRK-B,DELL,0.11009174311926606
DELL,COR,0.11009174311926606
AXP,DELL,0.11009174311926606
BKNG,PSX,0.10975609756097561
ANET,CB,0.10948905109489052
PEP,TXN,0.109375
CRM,ECL,0.109375
SYK,SHW,0.109375
SBUX,CI,0.109375
PLD,INTU,0.109375
DUK,CTAS,0.109375
TMUS,TXN,0.109375
SYK,NSC,0.109375
BLK,SHW,0.109375
CSX,NSC,0.109375
SYK,CSX,0.109375
TMUS,BX,0.109375
LRCX,MS,0.109375
CRM,MCO,0.109375
NFLX,BAC,0.109375
KLAC,CRH,0.109375
ETN,PCAR,0.109375
DHR,INTU,0.109375
BKNG,FDX,0.109375
MCD,RSG,0.109375
CRM,VRTX,0.109375
VRTX,SRE,0.109375
HD,HON,0.109375
HD,BLK,0.109375
PEP,DHR,0.109375
PEP,UNP,0.109375
CME,DLR,0.109375
VRTX,AEP,0.109375
PH,CRH,0.109375
MA,ROST,0.109375
BSX,ECL,0.109375
JNJ,DUK,0.109375
USB,SRE,0.109375
USB,MMM,0.109375
MRSH,MCO,0.109375
ICE,NSC,0.109375
ADI,CME,0.109375
ICE,ROST,0.109375
MRK,TDG,0.109375
ADI,AEP,0.109375
V,HD,0.109375
V,SYK,0.109375
V,CME,0.109375
CB,TDG,0.109375
TDG,CRH,0.109375
WM,CTAS,0.109375
AMZN,CSCO,0.109375
TXN,SYK,0.109375
ABNB,KMI,0.10909090909090909
ABNB,COR,0.10909090909090909
PG,CRWD,0.10810810810810811
ORCL,KKR,0.10752688172043011
UBER,ICE,0.10666666666666667
NEE,TXN,0.10416666666666667
PG,TDG,0.10416666666666667
TDG,AON,0.10416666666666667
PG,BX,0.10416666666666667
ETN,CRH,0.10416666666666667
AVGO,CRH,0.10416666666666667
PG,ADI,0.10416666666666667
PM,WELL,0.10416666666666667
UNP,ITW,0.10416666666666667
UNP,AEP,0.10416666666666667
ABT,ACN,0.10416666666666667
VRTX,AZO,0.10416666666666667
TJX,ORLY,0.10416666666666667
NFLX,BSX,0.10416666666666667
ABT,SHW,0.10416666666666667
ABT,MCO,0.10416666666666667
V,BLK,0.10416666666666667
V,UNP,0.10416666666666667
TMO,APD,0.10416666666666667
BLK,ICE,0.10416666666666667
VZ,O,0.10416666666666667
PEP,SHW,0.10416666666666667
BKNG,CRH,0.10416666666666667
EMR,RSG,0.10416666666666667
MS,ADI,0.10416666666666667
SYK,ITW,0.10416666666666667
MS,PH,0.10416666666666667
SHW,CL,0.10416666666666667
AEP,SRE,0.10416666666666667
TMUS,ADI,0.10416666666666667
SHW,TDG,0.10416666666666667
INTU,AON,0.10416666666666667
HON,PNC,0.10416666666666667
TMUS,AON,0.10416666666666667
TMUS,NSC,0.10416666666666667
IBM,WMB,0.10416666666666667
PNC,AEP,0.10416666666666667
VRTX,MSI,0.10416666666666667
VRTX,MCO,0.10416666666666667
