stock1,stock2,stability
PG,QCOM,0.07772020725388601
PG,LOW,0.031088082901554404
PG,PLD,0.07772020725388601
PG,INTU,0.06217616580310881
PG,VRTX,0.046632124352331605
PG,NOW,0.037037037037037035
PG,CRWD,0.10810810810810811
PG,CEG,0.16666666666666666
PG,ICE,0.09844559585492228
PG,MRSH,0.12435233160621761
PG,BX,0.10362694300518134
PG,SNPS,0.09844559585492228
PG,MSI,0.05699481865284974
PG,CDNS,0.06735751295336788
PG,CTAS,0.13471502590673576
PG,TDG,0.10362694300518134
PG,AON,0.07772020725388601
PG,APD,0.06735751295336788
PG,NSC,0.05181347150259067
PG,FTNT,0.046632124352331605
PG,APO,0.06741573033707865
HD,BAC,0.010362694300518135
HD,PEP,0.03626943005181347
HD,AMGN,0.0051813471502590676
HD,NEE,0.02072538860103627
HD,ABT,0.05699481865284974
HD,CRM,0.031088082901554404
HD,SCHW,0.046632124352331605
HD,HON,0.10880829015544041
HD,LMT,0.07253886010362694
HD,BLK,0.10880829015544041
HD,UNP,0.07772020725388601
HD,SYK,0.031088082901554404
HD,SPGI,0.02072538860103627
HD,VRTX,0.031088082901554404
HD,NOW,0.08641975308641975
HD,SBUX,0.010362694300518135
HD,CRWD,0.05405405405405406
HD,CME,0.05181347150259067
HD,CEG,0.0
HD,BSX,0.025906735751295335
HD,EQIX,0.06217616580310881
HD,ICE,0.09326424870466321
HD,ADP,0.05181347150259067
HD,SHW,0.08290155440414508
HD,ITW,0.05699481865284974
HD,MCO,0.010362694300518135
HD,CL,0.0
HD,CI,0.025906735751295335
HD,MDLZ,0.05181347150259067
HD,DASH,0.0
HD,AON,0.06735751295336788
HD,APD,0.06217616580310881
HD,SRE,0.05181347150259067
HD,O,0.05181347150259067
BAC,CSCO,0.02072538860103627
BAC,TMUS,0.05699481865284974
BAC,TXN,0.07253886010362694
BAC,SCHW,0.05181347150259067
BAC,SYK,0.025906735751295335
BAC,HCA,0.05056179775280899
BAC,CME,0.04145077720207254
BAC,DUK,0.015544041450777202
BAC,DELL,0.12727272727272726
BAC,WM,0.025906735751295335
BAC,HWM,0.009345794392523364
BAC,ICE,0.025906735751295335
BAC,MAR,0.07253886010362694
BAC,PNC,0.11917098445595854
BAC,AEP,0.015544041450777202
BAC,LHX,0.03626943005181347
BAC,GM,0.15384615384615385
BAC,O,0.015544041450777202
KO,CSCO,0.031088082901554404
KO,MRK,0.07772020725388601
KO,AMAT,0.08290155440414508
KO,LRCX,0.09844559585492228
KO,MS,0.07772020725388601
KO,GS,0.05181347150259067
KO,AXP,0.04145077720207254
KO,KLAC,0.06217616580310881
KO,TJX,0.07253886010362694
KO,ANET,0.043795620437956206
KO,APH,0.05181347150259067
KO,ADI,0.05181347150259067
KO,BLK,0.07772020725388601
KO,PANW,0.037267080745341616
KO,CB,0.13471502590673576
KO,PGR,0.08290155440414508
KO,VRTX,0.12953367875647667
KO,HCA,0.07865168539325842
